# alert ephemeris (community pipeline, approximate): P_alert = 5.91 d, t0_alert = 0.8 d
t_days,flux_rel,sigma_flux
1.708333,0.999396,0.001030
1.729167,0.998290,0.001030
1.750000,0.999706,0.001030
1.770833,0.999605,0.001030
1.791667,1.001440,0.001030
1.812500,1.000823,0.001030
1.833333,1.002234,0.001030
1.854167,0.999692,0.001030
1.875000,1.000369,0.001030
1.895833,0.999675,0.001030
1.916667,1.000798,0.001030
1.937500,0.999833,0.001030
1.958333,1.000486,0.001030
1.979167,1.000821,0.001030
2.000000,1.001296,0.001030
2.020833,1.004121,0.001030
2.041667,1.002086,0.001030
2.062500,1.000715,0.001030
2.083333,1.003014,0.001030
2.104167,1.005882,0.001030
2.125000,1.001791,0.001030
2.145833,1.002528,0.001030
2.166667,1.003328,0.001030
2.187500,1.003179,0.001030
2.208333,1.003350,0.001030
2.229167,1.004330,0.001030
2.250000,1.003748,0.001030
2.270833,1.006665,0.001030
2.291667,1.007315,0.001030
2.312500,1.009194,0.001030
2.333333,1.009907,0.001030
2.354167,1.006036,0.001030
2.375000,1.010861,0.001030
2.395833,1.008751,0.001030
2.416667,1.005377,0.001030
2.437500,1.008233,0.001030
2.458333,1.009077,0.001030
2.479167,1.006631,0.001030
2.500000,1.008325,0.001030
2.520833,1.006700,0.001030
2.541667,1.008010,0.001030
2.562500,1.006670,0.001030
2.583333,1.007550,0.001030
2.604167,1.004445,0.001030
2.625000,1.007162,0.001030
2.645833,1.007480,0.001030
2.666667,1.008426,0.001030
2.687500,1.007897,0.001030
2.708333,1.007378,0.001030
2.729167,1.006196,0.001030
2.750000,1.005121,0.001030
2.770833,1.006488,0.001030
2.791667,1.005988,0.001030
2.812500,1.006275,0.001030
2.833333,1.005854,0.001030
2.854167,1.007067,0.001030
2.875000,1.004680,0.001030
2.895833,1.004795,0.001030
2.916667,1.006166,0.001030
2.937500,1.004791,0.001030
2.958333,1.002900,0.001030
2.979167,1.004112,0.001030
3.000000,1.003942,0.001030
3.020833,1.001221,0.001030
3.041667,1.002013,0.001030
3.062500,1.001427,0.001030
3.083333,1.003594,0.001030
3.104167,1.003359,0.001030
3.125000,1.003769,0.001030
3.145833,1.005729,0.001030
3.166667,1.003557,0.001030
3.187500,1.005515,0.001030
3.208333,1.004456,0.001030
3.229167,1.003254,0.001030
3.250000,1.006108,0.001030
3.270833,1.004042,0.001030
3.291667,1.005665,0.001030
3.312500,1.004684,0.001030
3.333333,1.005058,0.001030
3.354167,1.003229,0.001030
3.375000,1.004264,0.001030
3.395833,1.005027,0.001030
3.416667,1.005062,0.001030
3.437500,1.006376,0.001030
3.458333,1.006791,0.001030
3.479167,1.005098,0.001030
3.500000,1.004511,0.001030
3.520833,1.004807,0.001030
3.541667,1.003362,0.001030
3.562500,1.003677,0.001030
3.583333,1.005304,0.001030
3.604167,1.003901,0.001030
3.625000,1.006618,0.001030
3.645833,1.006188,0.001030
3.666667,1.003926,0.001030
3.687500,1.004963,0.001030
3.708333,1.002534,0.001030
3.729167,1.002908,0.001030
3.750000,1.002617,0.001030
3.770833,1.003363,0.001030
3.791667,1.004082,0.001030
3.812500,1.004929,0.001030
3.833333,1.005899,0.001030
3.854167,1.005139,0.001030
3.875000,1.003836,0.001030
3.895833,1.000632,0.001030
3.916667,1.004711,0.001030
3.937500,1.002397,0.001030
3.958333,1.004654,0.001030
3.979167,1.002705,0.001030
4.000000,1.004496,0.001030
4.020833,1.003421,0.001030
4.041667,1.002592,0.001030
4.062500,1.002034,0.001030
4.083333,1.003684,0.001030
4.104167,1.004709,0.001030
4.125000,1.006735,0.001030
4.145833,1.004646,0.001030
4.166667,1.006382,0.001030
4.187500,1.006161,0.001030
4.208333,1.004889,0.001030
4.229167,1.004772,0.001030
4.250000,1.005032,0.001030
4.270833,1.003743,0.001030
4.291667,1.002843,0.001030
4.312500,1.003961,0.001030
4.333333,1.004132,0.001030
4.354167,1.000963,0.001030
4.375000,1.003855,0.001030
4.395833,1.003464,0.001030
4.416667,1.002460,0.001030
4.437500,1.001171,0.001030
4.458333,1.001469,0.001030
4.479167,1.005505,0.001030
4.500000,1.004779,0.001030
4.520833,1.006714,0.001030
4.541667,1.004221,0.001030
4.562500,1.005143,0.001030
4.583333,1.005472,0.001030
4.604167,1.003265,0.001030
4.625000,1.004841,0.001030
4.645833,1.002883,0.001030
4.666667,1.001321,0.001030
4.687500,1.003040,0.001030
4.708333,1.003530,0.001030
4.729167,1.002338,0.001030
4.750000,1.003471,0.001030
4.770833,0.999176,0.001030
4.791667,1.000208,0.001030
4.812500,1.000194,0.001030
4.833333,0.999524,0.001030
4.854167,1.002209,0.001030
4.875000,1.001146,0.001030
4.895833,0.999538,0.001030
4.916667,1.001516,0.001030
4.937500,1.001989,0.001030
4.958333,0.999222,0.001030
4.979167,0.999996,0.001030
5.000000,1.000799,0.001030
5.020833,1.001284,0.001030
5.041667,1.001705,0.001030
5.062500,1.000344,0.001030
5.083333,1.000273,0.001030
5.104167,1.000543,0.001030
5.125000,1.001687,0.001030
5.145833,1.001240,0.001030
5.166667,1.001042,0.001030
5.187500,0.999406,0.001030
5.208333,0.999717,0.001030
5.229167,0.997612,0.001030
5.250000,0.998464,0.001030
5.270833,0.998421,0.001030
5.291667,0.999872,0.001030
5.312500,0.999485,0.001030
5.333333,1.000460,0.001030
5.354167,0.999840,0.001030
5.375000,1.001401,0.001030
5.395833,1.003419,0.001030
5.416667,1.002220,0.001030
5.437500,1.001241,0.001030
5.458333,1.002178,0.001030
5.479167,1.000753,0.001030
5.500000,0.997533,0.001030
5.520833,0.998057,0.001030
5.541667,0.998866,0.001030
5.562500,1.000112,0.001030
5.583333,1.000131,0.001030
5.604167,0.999691,0.001030
5.625000,0.998669,0.001030
5.645833,0.999479,0.001030
5.666667,0.999447,0.001030
5.687500,0.996683,0.001030
5.708333,0.996572,0.001030
5.729167,0.997351,0.001030
5.750000,0.999114,0.001030
5.770833,1.001604,0.001030
5.791667,0.998636,0.001030
5.812500,0.996401,0.001030
5.833333,0.995839,0.001030
5.854167,0.999436,0.001030
5.875000,0.998507,0.001030
5.895833,0.998291,0.001030
5.916667,0.997512,0.001030
5.937500,0.999774,0.001030
5.958333,0.997229,0.001030
5.979167,0.995361,0.001030
6.000000,0.994392,0.001030
6.020833,0.995786,0.001030
6.041667,0.995125,0.001030
6.062500,0.992644,0.001030
6.083333,0.991931,0.001030
6.104167,0.992152,0.001030
6.125000,0.993052,0.001030
6.145833,0.993885,0.001030
6.166667,0.994637,0.001030
6.187500,0.994980,0.001030
6.208333,0.995823,0.001030
6.229167,0.996468,0.001030
6.250000,0.995255,0.001030
6.270833,0.995019,0.001030
6.291667,0.995620,0.001030
6.312500,0.996710,0.001030
6.333333,1.000925,0.001030
6.354167,0.996923,0.001030
6.375000,0.995728,0.001030
6.395833,0.997559,0.001030
6.416667,0.999735,0.001030
6.437500,0.997050,0.001030
6.458333,0.998154,0.001030
6.479167,0.995866,0.001030
6.500000,0.999186,0.001030
6.520833,1.000009,0.001030
6.541667,0.998618,0.001030
6.562500,0.999941,0.001030
6.583333,0.998023,0.001030
6.604167,0.997132,0.001030
6.625000,0.999090,0.001030
6.645833,0.999076,0.001030
6.666667,0.992167,0.001030
6.687500,0.990750,0.001030
6.708333,0.992326,0.001030
6.729167,0.993763,0.001030
6.750000,0.995670,0.001030
6.770833,0.993765,0.001030
6.791667,0.995719,0.001030
6.812500,0.995981,0.001030
6.833333,0.995530,0.001030
6.854167,0.997773,0.001030
6.875000,0.998505,0.001030
6.895833,0.997077,0.001030
6.916667,0.997617,0.001030
6.937500,0.995651,0.001030
6.958333,0.999085,0.001030
6.979167,1.000850,0.001030
7.000000,1.000277,0.001030
7.020833,0.998272,0.001030
7.041667,0.999626,0.001030
7.062500,0.999622,0.001030
7.083333,0.998903,0.001030
7.104167,0.998904,0.001030
7.125000,0.998391,0.001030
7.145833,0.999010,0.001030
7.166667,0.999294,0.001030
7.187500,0.998261,0.001030
7.208333,0.999199,0.001030
7.229167,0.998509,0.001030
7.250000,0.999911,0.001030
7.270833,0.997791,0.001030
7.291667,0.998351,0.001030
7.312500,0.998885,0.001030
7.333333,0.997517,0.001030
7.354167,0.998725,0.001030
7.375000,0.996951,0.001030
7.395833,0.999850,0.001030
7.416667,0.995059,0.001030
7.437500,0.995480,0.001030
7.458333,0.999354,0.001030
7.479167,0.999017,0.001030
7.500000,0.998569,0.001030
7.520833,0.996583,0.001030
7.541667,0.998573,0.001030
7.562500,0.998118,0.001030
7.583333,0.996713,0.001030
7.604167,0.996821,0.001030
7.625000,0.996570,0.001030
7.645833,0.994707,0.001030
7.666667,0.996975,0.001030
7.687500,0.996602,0.001030
7.708333,0.997371,0.001030
7.729167,0.996135,0.001030
7.750000,1.000029,0.001030
7.770833,0.998539,0.001030
7.791667,0.997652,0.001030
7.812500,0.998503,0.001030
7.833333,0.999492,0.001030
7.854167,0.999410,0.001030
7.875000,1.001200,0.001030
7.895833,0.998935,0.001030
7.916667,0.998041,0.001030
7.937500,0.999244,0.001030
7.958333,0.999829,0.001030
7.979167,0.999235,0.001030
8.000000,0.997517,0.001030
8.020833,0.998219,0.001030
8.041667,0.998639,0.001030
8.062500,0.998046,0.001030
8.083333,0.996121,0.001030
8.104167,0.997299,0.001030
8.125000,0.995932,0.001030
8.145833,0.996525,0.001030
8.166667,0.998088,0.001030
8.187500,0.995868,0.001030
8.208333,0.995784,0.001030
8.229167,0.996843,0.001030
8.250000,0.996855,0.001030
8.270833,0.997533,0.001030
8.291667,0.997396,0.001030
8.312500,0.995811,0.001030
8.333333,0.995745,0.001030
8.354167,0.997180,0.001030
8.375000,0.996200,0.001030
8.395833,0.998855,0.001030
8.416667,0.997991,0.001030
8.437500,1.000417,0.001030
8.458333,1.001083,0.001030
8.479167,1.001510,0.001030
8.500000,1.001633,0.001030
8.520833,1.000526,0.001030
8.541667,1.000915,0.001030
8.562500,1.002078,0.001030
8.583333,1.001256,0.001030
8.604167,1.001145,0.001030
8.625000,1.001120,0.001030
8.645833,1.000213,0.001030
8.666667,1.001458,0.001030
8.687500,1.000621,0.001030
8.708333,1.002314,0.001030
8.729167,1.002558,0.001030
8.750000,1.002421,0.001030
8.770833,1.003285,0.001030
8.791667,1.003833,0.001030
8.812500,1.005168,0.001030
8.833333,1.002804,0.001030
8.854167,1.000052,0.001030
8.875000,0.999393,0.001030
8.895833,1.000809,0.001030
8.916667,1.000769,0.001030
8.937500,0.998254,0.001030
8.958333,1.000349,0.001030
8.979167,1.001254,0.001030
9.000000,0.999393,0.001030
9.020833,0.999711,0.001030
9.041667,0.999241,0.001030
9.062500,1.000740,0.001030
9.083333,0.997716,0.001030
9.104167,0.997912,0.001030
9.125000,0.993883,0.001030
9.145833,0.996750,0.001030
9.166667,0.996611,0.001030
9.187500,0.995800,0.001030
9.208333,0.996737,0.001030
9.229167,0.997811,0.001030
9.250000,0.998534,0.001030
9.270833,0.998221,0.001030
9.291667,0.996966,0.001030
9.312500,0.997312,0.001030
9.333333,0.997483,0.001030
9.354167,0.996507,0.001030
9.375000,0.997758,0.001030
9.395833,0.998498,0.001030
9.416667,0.997725,0.001030
9.437500,0.999510,0.001030
9.458333,0.997189,0.001030
9.479167,0.997857,0.001030
9.500000,0.996515,0.001030
9.520833,0.998151,0.001030
9.541667,1.000125,0.001030
9.562500,0.999030,0.001030
9.583333,0.997715,0.001030
9.604167,0.997701,0.001030
9.625000,1.000040,0.001030
9.645833,0.998238,0.001030
9.666667,0.996982,0.001030
9.687500,0.994698,0.001030
9.708333,0.997230,0.001030
9.729167,0.995612,0.001030
9.750000,0.995932,0.001030
9.770833,0.998119,0.001030
9.791667,0.998281,0.001030
9.812500,0.999548,0.001030
9.833333,0.999969,0.001030
9.854167,0.998849,0.001030
9.875000,0.999596,0.001030
9.895833,0.999515,0.001030
9.916667,0.997915,0.001030
9.937500,0.996665,0.001030
9.958333,0.998360,0.001030
9.979167,0.998136,0.001030
10.000000,0.996759,0.001030
10.020833,0.997272,0.001030
10.041667,0.998322,0.001030
10.062500,0.997639,0.001030
10.083333,0.998904,0.001030
10.104167,0.997408,0.001030
10.125000,0.997790,0.001030
10.145833,0.999194,0.001030
10.166667,0.998244,0.001030
10.187500,0.997763,0.001030
10.208333,0.997644,0.001030
10.229167,0.999010,0.001030
10.250000,0.998718,0.001030
10.270833,0.998677,0.001030
10.291667,0.998013,0.001030
10.312500,0.996970,0.001030
10.333333,0.997840,0.001030
10.354167,0.995731,0.001030
10.375000,0.995552,0.001030
10.395833,0.996792,0.001030
10.416667,0.996146,0.001030
10.437500,0.993321,0.001030
10.458333,0.996610,0.001030
10.479167,0.995880,0.001030
10.500000,0.996843,0.001030
10.520833,0.993668,0.001030
10.541667,0.995942,0.001030
10.562500,0.995744,0.001030
10.583333,0.992997,0.001030
10.604167,0.993392,0.001030
10.625000,0.996571,0.001030
10.645833,0.997790,0.001030
10.666667,0.996602,0.001030
10.687500,0.995348,0.001030
10.708333,0.994932,0.001030
10.729167,0.996059,0.001030
10.750000,0.993191,0.001030
10.770833,0.993011,0.001030
10.791667,0.991221,0.001030
10.812500,0.991325,0.001030
10.833333,0.993299,0.001030
10.854167,0.996057,0.001030
10.875000,0.995009,0.001030
10.895833,0.997403,0.001030
10.916667,0.993831,0.001030
10.937500,0.994482,0.001030
10.958333,0.994857,0.001030
10.979167,0.996493,0.001030
11.000000,0.995559,0.001030
11.020833,0.993033,0.001030
11.041667,0.993517,0.001030
11.062500,0.992780,0.001030
11.083333,0.991718,0.001030
11.104167,0.991256,0.001030
11.125000,0.995581,0.001030
11.145833,0.993087,0.001030
11.166667,0.992645,0.001030
11.187500,0.994064,0.001030
11.208333,0.996640,0.001030
11.229167,0.993831,0.001030
11.250000,0.994446,0.001030
11.270833,0.993324,0.001030
11.291667,0.994547,0.001030
11.312500,0.993044,0.001030
11.333333,0.995272,0.001030
11.354167,0.996279,0.001030
11.375000,0.994298,0.001030
11.395833,0.997388,0.001030
11.416667,0.994233,0.001030
11.437500,0.995224,0.001030
11.458333,0.993980,0.001030
11.479167,0.996795,0.001030
11.500000,0.995618,0.001030
11.520833,0.995382,0.001030
11.541667,0.993344,0.001030
11.562500,0.992522,0.001030
11.583333,0.992527,0.001030
11.604167,0.995267,0.001030
11.625000,0.994837,0.001030
11.645833,0.991817,0.001030
11.666667,0.993391,0.001030
11.687500,0.992310,0.001030
11.708333,0.992860,0.001030
11.729167,0.992695,0.001030
11.750000,0.993224,0.001030
11.770833,0.994611,0.001030
11.791667,0.994534,0.001030
11.812500,0.996261,0.001030
11.833333,0.994293,0.001030
11.854167,0.997030,0.001030
11.875000,0.995388,0.001030
11.895833,0.994009,0.001030
11.916667,0.994729,0.001030
11.937500,0.994391,0.001030
11.958333,0.995757,0.001030
11.979167,0.994179,0.001030
12.000000,0.995876,0.001030
12.020833,0.993752,0.001030
12.041667,0.992634,0.001030
12.062500,0.991903,0.001030
12.083333,0.994165,0.001030
12.104167,0.994776,0.001030
12.125000,0.995738,0.001030
12.145833,0.992939,0.001030
12.166667,0.991991,0.001030
12.187500,0.992711,0.001030
12.208333,0.994250,0.001030
12.229167,0.994961,0.001030
12.250000,0.992179,0.001030
12.270833,0.993759,0.001030
12.291667,0.993447,0.001030
12.312500,0.994059,0.001030
12.333333,0.996557,0.001030
12.354167,0.992372,0.001030
12.375000,0.994058,0.001030
12.395833,0.993381,0.001030
12.416667,0.994246,0.001030
12.437500,0.994363,0.001030
12.458333,0.994917,0.001030
12.479167,0.994593,0.001030
12.500000,0.996265,0.001030
12.520833,0.995712,0.001030
12.541667,0.995345,0.001030
12.562500,0.995761,0.001030
12.583333,0.989656,0.001030
12.604167,0.992714,0.001030
12.625000,0.990584,0.001030
12.645833,0.993084,0.001030
12.666667,0.993494,0.001030
12.687500,0.995173,0.001030
12.708333,0.996614,0.001030
12.729167,0.992323,0.001030
12.750000,0.994989,0.001030
12.770833,0.995282,0.001030
12.791667,0.996026,0.001030
12.812500,0.994410,0.001030
12.833333,0.995722,0.001030
12.854167,0.995712,0.001030
12.875000,0.995346,0.001030
12.895833,0.995969,0.001030
12.916667,0.995455,0.001030
12.937500,0.993455,0.001030
12.958333,0.995452,0.001030
12.979167,0.994747,0.001030
13.000000,0.994907,0.001030
13.020833,0.995054,0.001030
13.041667,0.994923,0.001030
13.062500,0.994748,0.001030
13.083333,0.993054,0.001030
13.104167,0.993460,0.001030
13.125000,0.994445,0.001030
13.145833,0.993662,0.001030
13.166667,0.996432,0.001030
13.187500,0.995718,0.001030
14.312500,1.000112,0.001030
14.333333,1.001887,0.001030
14.354167,1.001475,0.001030
14.375000,1.001825,0.001030
14.395833,1.002294,0.001030
14.416667,1.003658,0.001030
14.437500,1.001161,0.001030
14.458333,1.003469,0.001030
14.479167,0.999815,0.001030
14.500000,1.002970,0.001030
14.520833,1.001988,0.001030
14.541667,1.003210,0.001030
14.562500,1.001504,0.001030
14.583333,1.003643,0.001030
14.604167,1.003095,0.001030
14.625000,1.005005,0.001030
14.645833,1.003333,0.001030
14.666667,1.003756,0.001030
14.687500,1.004281,0.001030
14.708333,1.002347,0.001030
14.729167,1.003815,0.001030
14.750000,1.004728,0.001030
14.770833,1.003797,0.001030
14.791667,1.002312,0.001030
14.812500,1.003825,0.001030
14.833333,1.000769,0.001030
14.854167,1.004030,0.001030
14.875000,1.001498,0.001030
14.895833,1.000877,0.001030
14.916667,1.001580,0.001030
14.937500,1.003499,0.001030
14.958333,1.001808,0.001030
14.979167,1.003373,0.001030
15.000000,1.003631,0.001030
15.020833,1.004603,0.001030
15.041667,1.004615,0.001030
15.062500,1.006328,0.001030
15.083333,1.005972,0.001030
15.104167,1.003420,0.001030
15.125000,1.004106,0.001030
15.145833,1.005717,0.001030
15.166667,1.004883,0.001030
15.187500,1.003482,0.001030
15.208333,1.004983,0.001030
15.229167,1.004728,0.001030
15.250000,1.002089,0.001030
15.270833,1.002868,0.001030
15.291667,1.002566,0.001030
15.312500,1.002571,0.001030
15.333333,1.004559,0.001030
15.354167,1.003178,0.001030
15.375000,1.005351,0.001030
15.395833,1.005227,0.001030
15.416667,1.003716,0.001030
15.437500,1.004047,0.001030
15.458333,1.002823,0.001030
15.479167,1.002082,0.001030
15.500000,1.004095,0.001030
15.520833,1.004049,0.001030
15.541667,1.001928,0.001030
15.562500,1.001226,0.001030
15.583333,1.000614,0.001030
15.604167,1.002943,0.001030
15.625000,1.002375,0.001030
15.645833,1.005003,0.001030
15.666667,1.007362,0.001030
15.687500,1.007038,0.001030
15.708333,1.004409,0.001030
15.729167,1.004668,0.001030
15.750000,1.005792,0.001030
15.770833,1.005513,0.001030
15.791667,1.007400,0.001030
15.812500,1.003275,0.001030
15.833333,1.006684,0.001030
15.854167,1.007872,0.001030
15.875000,1.007009,0.001030
15.895833,1.007245,0.001030
15.916667,1.005673,0.001030
15.937500,1.006579,0.001030
15.958333,1.006766,0.001030
15.979167,1.005629,0.001030
16.000000,1.004602,0.001030
16.020833,1.004361,0.001030
16.041667,1.001752,0.001030
16.062500,1.002887,0.001030
16.083333,1.004083,0.001030
16.104167,1.003476,0.001030
16.125000,1.003599,0.001030
16.145833,1.003767,0.001030
16.166667,1.003137,0.001030
16.187500,1.002832,0.001030
16.208333,1.005320,0.001030
16.229167,1.003591,0.001030
16.250000,1.003451,0.001030
16.270833,1.002354,0.001030
16.291667,1.005206,0.001030
16.312500,1.002307,0.001030
16.333333,1.001593,0.001030
16.354167,1.001204,0.001030
16.375000,0.999406,0.001030
16.395833,1.000376,0.001030
16.416667,1.002308,0.001030
16.437500,1.001665,0.001030
16.458333,1.002207,0.001030
16.479167,1.002758,0.001030
16.500000,1.002521,0.001030
16.520833,1.001005,0.001030
16.541667,1.003041,0.001030
16.562500,1.002837,0.001030
16.583333,1.002054,0.001030
16.604167,1.001543,0.001030
16.625000,1.002544,0.001030
16.645833,1.002346,0.001030
16.666667,0.999485,0.001030
16.687500,1.003344,0.001030
16.708333,1.000872,0.001030
16.729167,1.003148,0.001030
16.750000,1.004510,0.001030
16.770833,1.000063,0.001030
16.791667,1.002702,0.001030
16.812500,1.002198,0.001030
16.833333,1.002309,0.001030
16.854167,1.004254,0.001030
16.875000,1.003982,0.001030
16.895833,1.002473,0.001030
16.916667,1.005551,0.001030
16.937500,1.003731,0.001030
16.958333,1.002345,0.001030
16.979167,1.003056,0.001030
17.000000,1.002833,0.001030
17.020833,1.002365,0.001030
17.041667,1.003377,0.001030
17.062500,0.999159,0.001030
17.083333,1.003173,0.001030
17.104167,1.001573,0.001030
17.125000,1.003207,0.001030
17.145833,1.000419,0.001030
17.166667,1.001857,0.001030
17.187500,1.002020,0.001030
17.208333,1.001994,0.001030
17.229167,1.003363,0.001030
17.250000,1.001015,0.001030
17.270833,1.000715,0.001030
17.291667,1.001022,0.001030
17.312500,1.003745,0.001030
17.333333,1.002496,0.001030
17.354167,1.001290,0.001030
17.375000,1.001979,0.001030
17.395833,1.003603,0.001030
17.416667,1.000865,0.001030
17.437500,0.999865,0.001030
17.458333,0.997837,0.001030
17.479167,0.997249,0.001030
17.500000,0.997323,0.001030
17.520833,0.997250,0.001030
17.541667,0.996252,0.001030
17.562500,0.999387,0.001030
17.583333,0.998076,0.001030
17.604167,1.000478,0.001030
17.625000,0.998731,0.001030
17.645833,1.001634,0.001030
17.666667,1.002354,0.001030
17.687500,1.001925,0.001030
17.708333,1.003358,0.001030
17.729167,1.002104,0.001030
17.750000,1.002850,0.001030
17.770833,1.003927,0.001030
17.791667,1.003513,0.001030
17.812500,1.006236,0.001030
17.833333,1.006596,0.001030
17.854167,1.005176,0.001030
17.875000,1.007494,0.001030
17.895833,1.005522,0.001030
17.916667,1.003304,0.001030
17.937500,1.004279,0.001030
17.958333,0.999859,0.001030
17.979167,1.003996,0.001030
18.000000,1.003132,0.001030
18.020833,1.004466,0.001030
18.041667,1.001490,0.001030
18.062500,0.999668,0.001030
18.083333,1.001261,0.001030
18.104167,0.998479,0.001030
18.125000,0.998988,0.001030
18.145833,1.000221,0.001030
18.166667,1.001184,0.001030
18.187500,1.000325,0.001030
18.208333,1.000530,0.001030
18.229167,0.999310,0.001030
18.250000,0.999640,0.001030
18.270833,0.999165,0.001030
18.291667,1.002506,0.001030
18.312500,1.000191,0.001030
18.333333,1.000961,0.001030
18.354167,0.999895,0.001030
18.375000,0.998727,0.001030
18.395833,1.000436,0.001030
18.416667,1.000204,0.001030
18.437500,1.001396,0.001030
18.458333,1.000912,0.001030
18.479167,0.995159,0.001030
18.500000,0.993916,0.001030
18.520833,0.993892,0.001030
18.541667,0.994734,0.001030
18.562500,1.001462,0.001030
18.583333,1.003509,0.001030
18.604167,1.002588,0.001030
18.625000,1.000844,0.001030
18.645833,1.001151,0.001030
18.666667,1.003384,0.001030
18.687500,1.002811,0.001030
18.708333,1.004594,0.001030
18.729167,1.006830,0.001030
18.750000,1.003747,0.001030
18.770833,1.004856,0.001030
18.791667,1.005536,0.001030
18.812500,1.005474,0.001030
18.833333,1.006153,0.001030
18.854167,1.004693,0.001030
18.875000,1.005804,0.001030
18.895833,1.003690,0.001030
18.916667,1.005495,0.001030
18.937500,1.005076,0.001030
18.958333,1.005463,0.001030
18.979167,1.005387,0.001030
19.000000,1.003828,0.001030
19.020833,1.003648,0.001030
19.041667,1.004107,0.001030
19.062500,1.004254,0.001030
19.083333,1.003321,0.001030
19.104167,1.005413,0.001030
19.125000,1.005677,0.001030
19.145833,1.003779,0.001030
19.166667,1.002245,0.001030
19.187500,1.002283,0.001030
19.208333,1.003829,0.001030
19.229167,1.002269,0.001030
19.250000,1.002124,0.001030
19.270833,1.002143,0.001030
19.291667,0.999892,0.001030
19.312500,1.002377,0.001030
19.333333,1.002835,0.001030
19.354167,1.002757,0.001030
19.375000,1.003545,0.001030
19.395833,1.004785,0.001030
19.416667,1.005413,0.001030
19.437500,1.002630,0.001030
19.458333,1.003793,0.001030
19.479167,1.003555,0.001030
19.500000,1.004369,0.001030
19.520833,1.004350,0.001030
19.541667,1.003232,0.001030
19.562500,1.002203,0.001030
19.583333,1.003771,0.001030
19.604167,1.004130,0.001030
19.625000,1.002941,0.001030
19.645833,1.002106,0.001030
19.666667,1.005082,0.001030
19.687500,1.003557,0.001030
19.708333,1.004393,0.001030
19.729167,1.006053,0.001030
19.750000,1.003167,0.001030
19.770833,1.001763,0.001030
19.791667,1.002700,0.001030
19.812500,1.002666,0.001030
19.833333,1.005472,0.001030
19.854167,1.000543,0.001030
19.875000,1.003731,0.001030
19.895833,1.003701,0.001030
19.916667,1.004069,0.001030
19.937500,1.004020,0.001030
19.958333,1.005126,0.001030
19.979167,1.003755,0.001030
20.000000,1.003011,0.001030
20.020833,1.005025,0.001030
20.041667,1.004676,0.001030
20.062500,1.001439,0.001030
20.083333,1.002283,0.001030
20.104167,1.002763,0.001030
20.125000,1.002916,0.001030
20.145833,1.005575,0.001030
20.166667,1.005398,0.001030
20.187500,1.002791,0.001030
20.208333,1.004308,0.001030
20.229167,1.003028,0.001030
20.250000,1.002010,0.001030
20.270833,1.002768,0.001030
20.291667,1.003239,0.001030
20.312500,1.002786,0.001030
20.333333,1.003871,0.001030
20.354167,1.001880,0.001030
